"SUID","color","gene_name","id","label.cex","mtval","name","rtval","selected","shared name","shared_name","vmcolor","vrcolor"
"3366","#BEBEBE",,"ENSDARG00000016496","0.5","-0.9525795","ENSDARG00000016496","-0.9658143","false","ENSDARG00000016496",,"#BEBEBE","#BEBEBE"
"3367","#BEBEBE",,"ENSDARG00000041502","0.5","-0.9257892","ENSDARG00000041502","0.9161422","false","ENSDARG00000041502",,"#BEBEBE","#BEBEBE"
"3368","#BEBEBE",,"ENSDARG00000007219","0.5","-0.9243947","ENSDARG00000007219","0.07847677","false","ENSDARG00000007219",,"#BEBEBE","#BEBEBE"
"3369","#BEBEBE",,"ENSDARG00000059337","0.5","0.8976142","ENSDARG00000059337","3.928236","false","ENSDARG00000059337",,"#BEBEBE","#FF0000"
"3370","#BEBEBE",,"ENSDARG00000024759","0.5","0.8866832","ENSDARG00000024759","-0.4174567","false","ENSDARG00000024759",,"#BEBEBE","#BEBEBE"
"3371","#BEBEBE",,"ENSDARG00000019995","0.5","-0.7850957","ENSDARG00000019995","-1.472018","false","ENSDARG00000019995",,"#BEBEBE","#BEBEBE"
"3372","#BEBEBE",,"ENSDARG00000052826","0.5","-0.7150675","ENSDARG00000052826","-0.8004501","false","ENSDARG00000052826",,"#BEBEBE","#BEBEBE"
"3373","#BEBEBE",,"ENSDARG00000022280","0.5","-0.714462","ENSDARG00000022280","1.30522","false","ENSDARG00000022280",,"#BEBEBE","#BEBEBE"
"3374","#BEBEBE",,"ENSDARG00000068401","0.5","0.5730133","ENSDARG00000068401","3.022819","false","ENSDARG00000068401",,"#BEBEBE","#FF0000"
"3375","#BEBEBE",,"ENSDARG00000010434","0.5","-0.5191096","ENSDARG00000010434","-0.6444296","false","ENSDARG00000010434",,"#BEBEBE","#BEBEBE"
"3376","#BEBEBE",,"ENSDARG00000075747","0.5","0.4960761","ENSDARG00000075747","-0.6860141","false","ENSDARG00000075747",,"#BEBEBE","#BEBEBE"
"3377","#BEBEBE",,"ENSDARG00000031763","0.5","0.4269117","ENSDARG00000031763","-2.798507","false","ENSDARG00000031763",,"#BEBEBE","#00FF00"
"3378","#BEBEBE",,"ENSDARG00000027087","0.5","-0.4067677","ENSDARG00000027087","-1.299549","false","ENSDARG00000027087",,"#BEBEBE","#BEBEBE"
"3379","#BEBEBE",,"ENSDARG00000044422","0.5","-0.3645323","ENSDARG00000044422","-3.25541","false","ENSDARG00000044422",,"#BEBEBE","#00FF00"
"3380","#BEBEBE",,"ENSDARG00000034541","0.5","-0.3314939","ENSDARG00000034541","-1.075288","false","ENSDARG00000034541",,"#BEBEBE","#BEBEBE"
"3381","#BEBEBE",,"ENSDARG00000008141","0.5","0.2412968","ENSDARG00000008141","1.483796","false","ENSDARG00000008141",,"#BEBEBE","#BEBEBE"
"3382","#BEBEBE",,"ENSDARG00000011188","0.5","0.06497399","ENSDARG00000011188","-1.931882","false","ENSDARG00000011188",,"#BEBEBE","#0DFD0D"
"3383","#BEBEBE",,"ENSDARG00000016858","0.5","0.0401252","ENSDARG00000016858","-0.4156273","false","ENSDARG00000016858",,"#BEBEBE","#BEBEBE"
"3384","#BEBEBE",,"ENSDARG00000032155","0.5","0.6539707","ENSDARG00000032155","-2.401918","false","ENSDARG00000032155",,"#BEBEBE","#00FF00"
"3385","#BEBEBE",,"ENSDARG00000043250","0.5","0.5066088","ENSDARG00000043250","1.029505","false","ENSDARG00000043250",,"#BEBEBE","#BEBEBE"
"3386","#BEBEBE",,"ENSDARG00000037238","0.5","0.002746423","ENSDARG00000037238","0.8528509","false","ENSDARG00000037238",,"#BEBEBE","#BEBEBE"
"3387","#BEBEBE",,"ENSDARG00000057918","0.5","-0.06621164","ENSDARG00000057918","2.073157","false","ENSDARG00000057918",,"#BEBEBE","#FF0000"
"3388","#BEBEBE",,"ENSDARG00000002760","0.5","0.6038289","ENSDARG00000002760","0.9215625","false","ENSDARG00000002760",,"#BEBEBE","#BEBEBE"
"3389","#BEBEBE",,"ENSDARG00000060683","0.5","0.2919689","ENSDARG00000060683","0.1183102","false","ENSDARG00000060683",,"#BEBEBE","#BEBEBE"
"3390","#BEBEBE",,"ENSDARG00000063649","0.5","-0.4057416","ENSDARG00000063649","0.8654912","false","ENSDARG00000063649",,"#BEBEBE","#BEBEBE"
"3391","#BEBEBE",,"ENSDARG00000058819","0.5","-0.07010109","ENSDARG00000058819","-1.685221","false","ENSDARG00000058819",,"#BEBEBE","#5CF45C"
"3392","#BEBEBE",,"ENSDARG00000041203","0.5","0.1857733","ENSDARG00000041203","-0.8576663","false","ENSDARG00000041203",,"#BEBEBE","#BEBEBE"
"3393","#BEBEBE",,"ENSDARG00000003293","0.5","0.03907516","ENSDARG00000003293","0.3703085","false","ENSDARG00000003293",,"#BEBEBE","#BEBEBE"
"3394","#BEBEBE",,"ENSDARG00000076041","0.5","0.2195049","ENSDARG00000076041","0.5512773","false","ENSDARG00000076041",,"#BEBEBE","#BEBEBE"
