SUID,color,id,label.cex,mtval,name,rtval,selected,shared.name,shared_name,vmcolor,vrcolor,gene_name,log2FoldChange,padj
3364,#BEBEBE,ENSDARG00000078864,0.5,-0.9880581,ENSDARG00000078864,-2.289963,false,ENSDARG00000078864,NA,#BEBEBE,#00FF00,lats2,-1.8125903111678,0.0882347364928988
3365,#BEBEBE,ENSDARG00000040261,0.5,0.9637029,ENSDARG00000040261,-0.004957558,false,ENSDARG00000040261,NA,#BEBEBE,#BEBEBE,runx2a,-0.0109045222380213,0.998208670016566
3366,#BEBEBE,ENSDARG00000016496,0.5,-0.9525795,ENSDARG00000016496,-0.9658143,false,ENSDARG00000016496,NA,#BEBEBE,#BEBEBE,cdk8,-0.273307827106595,0.556287836409742
3367,#BEBEBE,ENSDARG00000041502,0.5,-0.9257892,ENSDARG00000041502,0.9161422,false,ENSDARG00000041502,NA,#BEBEBE,#BEBEBE,tgfb1a,0.79199325348877,0.582055561148523
3368,#BEBEBE,ENSDARG00000007219,0.5,-0.9243947,ENSDARG00000007219,0.07847677,false,ENSDARG00000007219,NA,#BEBEBE,#BEBEBE,actn1,0.0435731783484886,0.970951513850948
3369,#BEBEBE,ENSDARG00000059337,0.5,0.8976142,ENSDARG00000059337,3.928236,false,ENSDARG00000059337,NA,#BEBEBE,#FF0000,tgif1,0.766843201234517,0.00122281721345825
3370,#BEBEBE,ENSDARG00000024759,0.5,0.8866832,ENSDARG00000024759,-0.4174567,false,ENSDARG00000024759,NA,#BEBEBE,#BEBEBE,inhbab,-0.661377615186956,0.831497429942531
3371,#BEBEBE,ENSDARG00000019995,0.5,-0.7850957,ENSDARG00000019995,-1.472018,false,ENSDARG00000019995,NA,#BEBEBE,#BEBEBE,bmp4,-0.399287390717638,0.320600084496114
3372,#BEBEBE,ENSDARG00000052826,0.5,-0.7150675,ENSDARG00000052826,-0.8004501,false,ENSDARG00000052826,NA,#BEBEBE,#BEBEBE,runx3,-1.17728159395945,0.643339474244802
3373,#BEBEBE,ENSDARG00000022280,0.5,-0.714462,ENSDARG00000022280,1.30522,false,ENSDARG00000022280,NA,#BEBEBE,#BEBEBE,brd2a,0.266369156541005,0.390921563460811
3374,#BEBEBE,ENSDARG00000068401,0.5,0.5730133,ENSDARG00000068401,3.022819,false,ENSDARG00000068401,NA,#BEBEBE,#FF0000,yap1,0.720689389211942,0.0172563840339528
3375,#BEBEBE,ENSDARG00000010434,0.5,-0.5191096,ENSDARG00000010434,-0.6444296,false,ENSDARG00000010434,NA,#BEBEBE,#BEBEBE,clu,-0.48540988491768,0.721897248419794
3376,#BEBEBE,ENSDARG00000075747,0.5,0.4960761,ENSDARG00000075747,-0.6860141,false,ENSDARG00000075747,NA,#BEBEBE,#BEBEBE,zfyve16,-0.348170351845911,0.700132090545016
3377,#BEBEBE,ENSDARG00000031763,0.5,0.4269117,ENSDARG00000031763,-2.798507,false,ENSDARG00000031763,NA,#BEBEBE,#00FF00,smad6b,-1.16740137933169,0.0299821620754104
3378,#BEBEBE,ENSDARG00000027087,0.5,-0.4067677,ENSDARG00000027087,-1.299549,false,ENSDARG00000027087,NA,#BEBEBE,#BEBEBE,tgfb2,-3.94212021749824,NA
3379,#BEBEBE,ENSDARG00000044422,0.5,-0.3645323,ENSDARG00000044422,-3.25541,false,ENSDARG00000044422,NA,#BEBEBE,#00FF00,acvr2ba,-1.77211122769397,0.00938651136577007
3380,#BEBEBE,ENSDARG00000034541,0.5,-0.3314939,ENSDARG00000034541,-1.075288,false,ENSDARG00000034541,NA,#BEBEBE,#BEBEBE,tgfbr2b,-1.15623245976689,0.499920078746761
3381,#BEBEBE,ENSDARG00000008141,0.5,0.2412968,ENSDARG00000008141,1.483796,false,ENSDARG00000008141,NA,#BEBEBE,#BEBEBE,rbl1,0.537797498158219,0.316052830391722
3382,#BEBEBE,ENSDARG00000011188,0.5,0.06497399,ENSDARG00000011188,-1.931882,false,ENSDARG00000011188,NA,#BEBEBE,#0DFD0D,acvr2aa,-0.496003133365134,0.166672890886993
3383,#BEBEBE,ENSDARG00000016858,0.5,0.0401252,ENSDARG00000016858,-0.4156273,false,ENSDARG00000016858,NA,#BEBEBE,#BEBEBE,smad7,-0.177361761012364,0.832146543158816
3384,#BEBEBE,ENSDARG00000032155,0.5,0.6539707,ENSDARG00000032155,-2.401918,false,ENSDARG00000032155,NA,#BEBEBE,#00FF00,ppm1aa,-0.603371607813976,0.0717620503732038
3385,#BEBEBE,ENSDARG00000043250,0.5,0.5066088,ENSDARG00000043250,1.029505,false,ENSDARG00000043250,NA,#BEBEBE,#BEBEBE,ppm1ab,0.338333071222761,0.522758398572535
3386,#BEBEBE,ENSDARG00000037238,0.5,0.002746423,ENSDARG00000037238,0.8528509,false,ENSDARG00000037238,NA,#BEBEBE,#BEBEBE,smad5,0.205156378631044,0.614996667845065
3387,#BEBEBE,ENSDARG00000057918,0.5,-0.06621164,ENSDARG00000057918,2.073157,false,ENSDARG00000057918,NA,#BEBEBE,#FF0000,tsc1b,0.508329263029654,0.131537882920191
3388,#BEBEBE,ENSDARG00000002760,0.5,0.6038289,ENSDARG00000002760,0.9215625,false,ENSDARG00000002760,NA,#BEBEBE,#BEBEBE,gdf5,2.82377909308151,NA
3389,#BEBEBE,ENSDARG00000060683,0.5,0.2919689,ENSDARG00000060683,0.1183102,false,ENSDARG00000060683,NA,#BEBEBE,#BEBEBE,lrsam1,0.0816923875928785,0.956380622717273
3390,#BEBEBE,ENSDARG00000063649,0.5,-0.4057416,ENSDARG00000063649,0.8654912,false,ENSDARG00000063649,NA,#BEBEBE,#BEBEBE,tead3b,0.355485167607878,0.608445831179785
3391,#BEBEBE,ENSDARG00000058819,0.5,-0.07010109,ENSDARG00000058819,-1.685221,false,ENSDARG00000058819,NA,#BEBEBE,#5CF45C,nog1,-1.80229728503669,0.242158380700002
3392,#BEBEBE,ENSDARG00000041203,0.5,0.1857733,ENSDARG00000041203,-0.8576663,false,ENSDARG00000041203,NA,#BEBEBE,#BEBEBE,drap1,-0.141974341388288,0.612776421102283
3393,#BEBEBE,ENSDARG00000003293,0.5,0.03907516,ENSDARG00000003293,0.3703085,false,ENSDARG00000003293,NA,#BEBEBE,#BEBEBE,sox9a,0.223258451147642,0.852863838432387
3394,#BEBEBE,ENSDARG00000076041,0.5,0.2195049,ENSDARG00000076041,0.5512773,false,ENSDARG00000076041,NA,#BEBEBE,#BEBEBE,wwc1,0.224322863447721,0.766652529617382
